pop1,ecotype1,pop2,ecotype2,geography,ecology,group,reg1,reg2,geography2,group2,fst
bea,lake,mud,lake,allo,S,allo_S,al,al,para,para_S,0.178491
boot,lake,boot,stream,para,D,para_D,bc,bc,para,para_D,0.308712
constance,lake,constance,stream,para,D,para_D,sl,sl,para,para_D,0.0686465
cr,stream,rb,stream,allo,S,allo_S,or,or,para,para_S,0.263282
cr,stream,wc,stream,allo,S,allo_S,or,or,para,para_S,0.587457
cs,marine,ms,marine,allo,S,allo_S,or,or,para,para_S,0.100089
cs,marine,sj,marine,para,S,para_S,or,or,para,para_S,0.00903331
geneva,lake,geneva,stream,para,D,para_D,sl,sl,para,para_D,0.0154965
hadsten,lake,hald,lake,allo,S,allo_S,ne,ne,para,para_S,0.321578
joes,lake,joes,stream,para,D,para_D,bc,bc,para,para_D,0.104698
lq,benthic,lq,limnetic,para,D,para_D,bc,bc,para,para_D,0.290412
mariager,marine,denmark,marine,allo,S,allo_S,ne,ne,para,para_S,0.238239
misty,lake,misty,stream,para,D,para_D,bc,bc,para,para_D,0.0051155
ms,marine,sj,marine,allo,S,allo_S,or,or,para,para_S,0.10365
pax,limnetic,pax,benthic,para,D,para_D,bc,bc,para,para_D,0.343408
pri,limnetic,pri,benthic,para,D,para_D,bc,bc,para,para_D,0.360768
roberts,lake,roberts,stream,para,D,para_D,bc,bc,para,para_D,0.0812557
