pop1 pop2 pop1_long pop2_long type geography fst n_inds least.cost.distance euc.distance dist.to.coast1 dist.to.coast2
AL BR AL_cmn BR_cbr cmn_cbr allopatric 0.010734 31 130.497316510663 68 2.36159329501079 1.30407065704216
AL CL AL_cmn CL_cmn cmn_cmn allopatric 0.0084397 29 331.939812836977 198 2.36159329501079 0.705348326373323
AL CL AL_cmn CL_wht wht_cmn allopatric 0.020633 32 331.939812836977 198 2.36159329501079 0.705348326373323
AL CP AL_cmn CP_cmn cmn_cmn allopatric 0.0010845 47 6.34920203483841 9 2.36159329501079 0.562465475072651
AL GC AL_cmn GC_cbr cmn_cbr allopatric 0.01141 38 130.012173741279 77 2.36159329501079 0.0189584684890147
AL LN AL_cmn LN_cbr cmn_cbr allopatric 0.019164 41 135.330001743061 86 2.36159329501079 0.664060317546171
AL MH AL_cmn MH_cmn cmn_cmn allopatric 0.0072379 25 91.3012819735128 33 2.36159329501079 8.69171627575548
AL MH AL_cmn MH_wht wht_cmn allopatric 0.016254 23 91.3012819735128 33 2.36159329501079 8.69171627575548
AL MR AL_cmn MR_cbr cmn_cbr allopatric 0.01227 32 148.040039067916 96 2.36159329501079 0.122940810141915
AL RT AL_cmn RT_cmn cmn_cmn allopatric 0.016168 18 92.2527620868563 81 2.36159329501079 0.283588138995079
AL RT AL_cmn RT_wht wht_cmn allopatric 0.017181 30 92.2527620868563 81 2.36159329501079 0.283588138995079
AL SF AL_cmn SF_cmn cmn_cmn allopatric 0.0029562 19 73.3811201008339 55 2.36159329501079 0.661328928399864
AL SF AL_cmn SF_wht wht_cmn allopatric 0.0167 33 73.3811201008339 55 2.36159329501079 0.661328928399864
AL SH AL_cmn SH_cmn cmn_cmn allopatric 0.0078109 28 211.682494752542 91 2.36159329501079 0.350212979381137
AL SH AL_cmn SH_wht wht_cmn allopatric 0.030956 20 211.682494752542 91 2.36159329501079 0.350212979381137
AL SK AL_cmn SK_cbr cmn_cbr allopatric 0.014992 31 139.331423776663 75 2.36159329501079 0.376207204758099
AL SR AL_cmn SR_cmn cmn_cmn allopatric 0.01024 30 89.2992181788994 49 2.36159329501079 2.09303510883343
AL SR AL_cmn SR_wht wht_cmn allopatric 0.016149 31 89.2992181788994 49 2.36159329501079 2.09303510883343
BR CL BR_cbr CL_cmn cmn_cbr allopatric 0.01576 28 334.734975970944 258 1.30407065704216 0.705348326373323
BR CL BR_cbr CL_wht wht_cbr allopatric 0.024549 31 334.734975970944 258 1.30407065704216 0.705348326373323
BR CP BR_cbr CP_cmn cmn_cbr allopatric 0.01301 46 124.148114475825 60 1.30407065704216 0.562465475072651
BR GC BR_cbr GC_cbr cbr_cbr allopatric 0.0017468 37 28.2424522182925 24 1.30407065704216 0.0189584684890147
BR LN BR_cbr LN_cbr cbr_cbr allopatric 0.009277 40 34.4515547912477 34 1.30407065704216 0.664060317546171
BR MH BR_cbr MH_cmn cmn_cbr allopatric 0.012027 24 94.6702167509224 48 1.30407065704216 8.69171627575548
BR MH BR_cbr MH_wht wht_cbr allopatric 0.017938 22 94.6702167509224 48 1.30407065704216 8.69171627575548
BR MR BR_cbr MR_cbr cbr_cbr allopatric 0.0003483 31 47.161592116103 45 1.30407065704216 0.122940810141915
BR RT BR_cbr RT_cmn cmn_cbr allopatric 0.014586 17 38.2445544238069 15 1.30407065704216 0.283588138995079
BR RT BR_cbr RT_wht wht_cbr allopatric 0.018695 29 38.2445544238069 15 1.30407065704216 0.283588138995079
BR SF BR_cbr SF_cmn cmn_cbr allopatric 0.0062359 18 76.7500548782435 33 1.30407065704216 0.661328928399864
BR SF BR_cbr SF_wht wht_cbr allopatric 0.019132 32 76.7500548782435 33 1.30407065704216 0.661328928399864
BR SH BR_cbr SH_cmn cmn_cbr allopatric 0.015536 27 214.477657886508 143 1.30407065704216 0.350212979381137
BR SH BR_cbr SH_wht wht_cbr allopatric 0.029455 19 214.477657886508 143 1.30407065704216 0.350212979381137
BR SK BR_cbr SK_cbr cbr_cbr allopatric 0.0020354 30 30.7961614415929 30 1.30407065704216 0.376207204758099
BR SR BR_cbr SR_cmn cmn_cbr allopatric 0.018015 29 92.6681529563091 48 1.30407065704216 2.09303510883343
BR SR BR_cbr SR_wht wht_cbr allopatric 0.019762 30 92.6681529563091 48 1.30407065704216 2.09303510883343
CL CL CL_cmn CL_wht wht_cmn sympatric 0.022983 29 NA 0 0.705348326373323 0.705348326373323
CL CP CL_cmn CP_cmn cmn_cmn allopatric 0.010046 44 325.590610802139 207 0.705348326373323 0.562465475072651
CL GC CL_cmn GC_cbr cmn_cbr allopatric 0.020895 35 334.24983320156 273 0.705348326373323 0.0189584684890147
CL LN CL_cmn LN_cbr cmn_cbr allopatric 0.035175 38 339.567661203342 283 0.705348326373323 0.664060317546171
CL MH CL_cmn MH_cmn cmn_cmn allopatric 0.012396 22 271.055807508132 209 0.705348326373323 8.69171627575548
CL MH CL_cmn MH_wht wht_cmn allopatric 0.021148 20 271.055807508132 209 0.705348326373323 8.69171627575548
CL MR CL_cmn MR_cbr cmn_cbr allopatric 0.020786 29 352.277698528197 293 0.705348326373323 0.122940810141915
CL RT CL_cmn RT_cmn cmn_cmn allopatric 0.010101 15 298.262635462247 268 0.705348326373323 0.283588138995079
CL RT CL_cmn RT_wht wht_cmn allopatric 0.020993 27 298.262635462247 268 0.705348326373323 0.283588138995079
CL SF CL_cmn SF_cmn cmn_cmn allopatric 0.010433 16 260.969450291104 230 0.705348326373323 0.661328928399864
CL SF CL_cmn SF_wht wht_cmn allopatric 0.01951 30 260.969450291104 230 0.705348326373323 0.661328928399864
CL SH CL_cmn SH_cmn cmn_cmn allopatric 0.0049866 25 132.723074438927 117 0.705348326373323 0.350212979381137
CL SH CL_cmn SH_wht wht_cmn allopatric 0.022853 17 132.723074438927 117 0.705348326373323 0.350212979381137
CL SK CL_cmn SK_cbr cmn_cbr allopatric 0.02347 28 343.569083236944 273 0.705348326373323 0.376207204758099
CL SR CL_cmn SR_cmn cmn_cmn allopatric 0.0037314 27 266.701298999983 214 0.705348326373323 2.09303510883343
CL SR CL_cmn SR_wht wht_cmn allopatric 0.021406 28 266.701298999983 214 0.705348326373323 2.09303510883343
CL CP CL_wht CP_cmn wht_cmn allopatric 0.020972 47 325.590610802139 207 0.705348326373323 0.562465475072651
CL GC CL_wht GC_cbr wht_cbr allopatric 0.024333 38 334.24983320156 273 0.705348326373323 0.0189584684890147
CL LN CL_wht LN_cbr wht_cbr allopatric 0.030876 41 339.567661203342 283 0.705348326373323 0.664060317546171
CL MH CL_wht MH_cmn wht_cmn allopatric 0.023819 25 271.055807508132 209 0.705348326373323 8.69171627575548
CL MH CL_wht MH_wht wht_wht allopatric 0.0047489 23 271.055807508132 209 0.705348326373323 8.69171627575548
CL MR CL_wht MR_cbr wht_cbr allopatric 0.026382 32 352.277698528197 293 0.705348326373323 0.122940810141915
CL RT CL_wht RT_cmn wht_cmn allopatric 0.031733 18 298.262635462247 268 0.705348326373323 0.283588138995079
CL RT CL_wht RT_wht wht_wht allopatric 0.0056797 30 298.262635462247 268 0.705348326373323 0.283588138995079
CL SF CL_wht SF_cmn wht_cmn allopatric 0.020201 19 260.969450291104 230 0.705348326373323 0.661328928399864
CL SF CL_wht SF_wht wht_wht allopatric 0.004046 33 260.969450291104 230 0.705348326373323 0.661328928399864
CL SH CL_wht SH_cmn wht_cmn allopatric 0.020959 28 132.723074438927 117 0.705348326373323 0.350212979381137
CL SH CL_wht SH_wht wht_wht allopatric 0.01767 20 132.723074438927 117 0.705348326373323 0.350212979381137
CL SK CL_wht SK_cbr wht_cbr allopatric 0.027313 31 343.569083236944 273 0.705348326373323 0.376207204758099
CL SR CL_wht SR_cmn wht_cmn allopatric 0.025441 30 266.701298999983 214 0.705348326373323 2.09303510883343
CL SR CL_wht SR_wht wht_wht allopatric 0.0036165 31 266.701298999983 214 0.705348326373323 2.09303510883343
CP GC CP_cmn GC_cbr cmn_cbr allopatric 0.011979 53 123.66297170644 68 0.562465475072651 0.0189584684890147
CP LN CP_cmn LN_cbr cmn_cbr allopatric 0.018542 56 128.980799708223 77 0.562465475072651 0.664060317546171
