id,pop,year,region,species,cluster,sex
AL1,AL,2014,AN,cmn,cmn,F
AL11,AL,2014,AN,cmn,cmn,F
AL12,AL,2014,AN,cmn,cmn,M
AL13,AL,2014,AN,cmn,cmn,F
AL14,AL,2014,AN,cmn,cmn,F
AL2,AL,2014,AN,cmn,cmn,F
AL21,AL,2014,AN,cmn,cmn,M
AL22,AL,2014,AN,cmn,cmn,M
AL23,AL,2014,AN,cmn,cmn,M
AL24,AL,2014,AN,cmn,cmn,M
AL29,AL,2014,AN,cmn,cmn,M
AL3,AL,2014,AN,cmn,cmn,F
AL32,AL,2014,AN,cmn,cmn,M
AL5,AL,2014,AN,cmn,cmn,F
AL6,AL,2014,AN,cmn,cmn,M
AL7,AL,2014,AN,cmn,cmn,F
BR18,BR,2014,CB,cmn,cbr,F
BR19,BR,2014,CB,cmn,cbr,M
BR20,BR,2014,CB,cmn,cbr,F
BR21,BR,2014,CB,cmn,cbr,M
BR23,BR,2014,CB,cmn,cbr,F
BR24,BR,2014,CB,cmn,cbr,M
BR25,BR,2014,CB,cmn,cbr,F
BR26,BR,2014,CB,cmn,cbr,F
BR28,BR,2014,CB,cmn,cbr,F
BR29,BR,2014,CB,cmn,cbr,M
BR31,BR,2014,CB,cmn,cbr,M
BR32,BR,2014,CB,cmn,cbr,M
BR33,BR,2014,CB,cmn,cbr,F
BR36,BR,2014,CB,cmn,cbr,M
BR37,BR,2014,CB,cmn,cbr,F
CB1,CB,2014,CB,cmn,cmn,NA
CB2,CB,2014,CB,wht,cmn,NA
CL11,CL,2014,HA,cmn,cmn,F
CL12,CL,2014,HA,wht,cmn,F
CL17,CL,2014,HA,cmn,cmn,F
CL19,CL,2014,HA,wht,wht,M
CL21,CL,2014,HA,wht,wht,M
CL23,CL,2014,HA,cmn,cmn,M
CL24,CL,2014,HA,cmn,cmn,F
CL25,CL,2014,HA,wht,wht,M
CL27,CL,2014,HA,cmn,cmn,F
CL28,CL,2014,HA,cmn,cmn,M
CL29,CL,2014,HA,wht,wht,M
CL31,CL,2014,HA,wht,wht,F
CL33,CL,2014,HA,wht,wht,F
