id,pop,year,region,sex,species,gen.sex
AL1,AL,2014,AN,F,cmn,F
AL11,AL,2014,AN,F,cmn,F
AL12,AL,2014,AN,M,cmn,M
AL13,AL,2014,AN,F,cmn,F
AL14,AL,2014,AN,F,cmn,F
AL2,AL,2014,AN,F,cmn,F
AL21,AL,2014,AN,M,cmn,M
AL22,AL,2014,AN,M,cmn,M
AL23,AL,2014,AN,M,cmn,M
AL24,AL,2014,AN,M,cmn,M
AL29,AL,2014,AN,M,cmn,M
AL3,AL,2014,AN,F,cmn,F
AL32,AL,2014,AN,M,cmn,M
AL5,AL,2014,AN,F,cmn,F
AL6,AL,2014,AN,M,cmn,M
AL7,AL,2014,AN,F,cmn,F
BR18,BR,2014,CB,F,cmn,F
BR19,BR,2014,CB,M,cmn,M
BR20,BR,2014,CB,F,cmn,F
BR21,BR,2014,CB,M,cmn,M
BR23,BR,2014,CB,F,cmn,F
BR24,BR,2014,CB,M,cmn,M
BR25,BR,2014,CB,F,cmn,F
BR26,BR,2014,CB,NA,cmn,F
BR28,BR,2014,CB,F,cmn,F
BR29,BR,2014,CB,M,cmn,M
BR31,BR,2014,CB,M,cmn,M
BR32,BR,2014,CB,M,cmn,M
BR33,BR,2014,CB,F,cmn,F
BR36,BR,2014,CB,M,cmn,M
BR37,BR,2014,CB,F,cmn,F
CB1,CB,2014,CB,NA,cmn,M
CB2,CB,2014,CB,NA,wht,M
CL11,CL,2014,CB,M,cmn,F
CL12,CL,2014,CB,M,wht,F
CL17,CL,2014,CB,F,cmn,F
CL19,CL,2014,CB,M,wht,M
CL21,CL,2014,CB,M,wht,M
CL23,CL,2014,CB,M,cmn,M
CL24,CL,2014,CB,F,cmn,F
CL25,CL,2014,CB,M,wht,M
CL27,CL,2014,CB,F,cmn,F
CL28,CL,2014,CB,M,cmn,M
CL29,CL,2014,CB,M,wht,M
CL31,CL,2014,CB,F,wht,F
CL33,CL,2014,CB,F,wht,F
CL38,CL,2014,CB,M,cmn,F
CL39,CL,2014,CB,M,wht,M
CL40,CL,2014,CB,F,wht,F
CL41,CL,2014,CB,F,wht,F
CL42,CL,2014,CB,M,wht,F
CL43,CL,2014,CB,NA,cmn,F
CL45,CL,2014,CB,M,wht,M
CL47,CL,2014,CB,F,wht,F
CL50,CL,2014,CB,F,wht,F
CL53,CL,2014,CB,F,cmn,F
CL54,CL,2014,CB,F,wht,F
CL56,CL,2014,CB,F,wht,F
CL58,CL,2014,CB,F,cmn,F
CL63,CL,2014,CB,F,wht,F
CL64,CL,2014,CB,NA,wht,M
CL64_2,CL,2014,CB,NA,cmn,F
CL9,CL,2014,CB,M,cmn,F
CPN10,CPN,2014,AN,F,cmn,F
CPN12,CPN,2014,AN,M,cmn,M
CPN13,CPN,2014,AN,M,cmn,M
CPN15,CPN,2014,AN,F,cmn,F
CPN17,CPN,2014,AN,M,cmn,M
CPN19,CPN,2014,AN,F,cmn,F
CPN20,CPN,2014,AN,M,cmn,M
CPN23,CPN,2014,AN,M,cmn,M
CPN25,CPN,2014,AN,F,cmn,F
CPN27,CPN,2014,AN,F,cmn,F
CPN28,CPN,2014,AN,F,cmn,F
CPN33,CPN,2014,AN,M,cmn,M
CPN35,CPN,2014,AN,NA,cmn,F
CPN6,CPN,2014,AN,F,cmn,F
CPN8,CPN,2014,AN,M,cmn,M
CPN9,CPN,2014,AN,M,cmn,M
CPSE11,CPSE,2014,AN,F,cmn,F
CPSE12,CPSE,2014,AN,M,cmn,M
CPSE15,CPSE,2014,AN,F,cmn,F
CPSE16,CPSE,2014,AN,F,cmn,F
CPSE19,CPSE,2014,AN,F,cmn,F
CPSE2,CPSE,2014,AN,M,cmn,M
CPSE20,CPSE,2014,AN,M,cmn,M
CPSE21,CPSE,2014,AN,M,cmn,M
CPSE23,CPSE,2014,AN,F,cmn,F
CPSE25,CPSE,2014,AN,M,cmn,M
CPSE32,CPSE,2014,AN,M,cmn,M
CPSE33,CPSE,2014,AN,M,cmn,M
CPSE34,CPSE,2014,AN,F,cmn,F
CPSE38,CPSE,2014,AN,M,cmn,M
CPSE9,CPSE,2014,AN,F,cmn,F
GC1,GC,2014,CB,F,cmn,F
GC10,GC,2014,CB,M,cmn,M
GC12,GC,2014,CB,F,cmn,F
GC14,GC,2014,CB,F,cmn,F
GC15,GC,2014,CB,M,wht,M
GC16,GC,2014,CB,M,cmn,M
GC18,GC,2014,CB,F,cmn,F
GC19,GC,2014,CB,M,cmn,M
GC2,GC,2014,CB,F,cmn,F
GC21,GC,2014,CB,M,cmn,M
GC24,GC,2014,CB,M,cmn,M
GC28,GC,2014,CB,F,cmn,F
GC30,GC,2014,CB,F,cmn,F
GC31,GC,2014,CB,M,cmn,M
GC32,GC,2014,CB,M,cmn,M
GC36,GC,2014,CB,M,cmn,M
GC38,GC,2014,CB,M,cmn,M
GC4,GC,2014,CB,F,cmn,F
GC40,GC,2014,CB,F,cmn,F
GC45,GC,2014,CB,F,cmn,F
GC7,GC,2014,CB,M,cmn,M
GC9,GC,2014,CB,M,cmn,M
LD1,LD,2014,CB,NA,wht,F
LD2,LD,2014,CB,NA,cmn,F
LD3,LD,2014,CB,NA,cmn,F
LN1,LN,2014,CB,NA,cmn,M
LN10,LN,2014,CB,NA,cmn,M
LN11,LN,2014,CB,NA,cmn,M
LN12,LN,2014,CB,NA,cmn,M
LN13,LN,2014,CB,NA,cmn,F
LN14,LN,2014,CB,NA,cmn,M
LN15,LN,2014,CB,NA,cmn,M
LN16,LN,2014,CB,NA,wht,M
LN17,LN,2014,CB,NA,cmn,M
LN18,LN,2014,CB,NA,cmn,M
LN19,LN,2014,CB,NA,cmn,M
LN2,LN,2014,CB,NA,wht,M
LN20,LN,2014,CB,NA,wht,M
LN21,LN,2014,CB,NA,cmn,M
LN22,LN,2014,CB,NA,cmn,M
LN23,LN,2014,CB,NA,cmn,M
LN24,LN,2014,CB,NA,cmn,M
LN25,LN,2014,CB,NA,cmn,M
LN29,LN,2014,CB,NA,cmn,M
LN3,LN,2014,CB,NA,cmn,M
LN30,LN,2014,CB,NA,wht,M
LN4,LN,2014,CB,NA,cmn,M
LN5,LN,2014,CB,NA,cmn,M
LN6,LN,2014,CB,NA,cmn,M
LN7,LN,2014,CB,NA,cmn,M
LN8,LN,2014,CB,NA,cmn,M
LN9,LN,2014,CB,NA,cmn,M
MH10,MH,2014,GY,F,cmn,F
MH11,MH,2014,GY,M,cmn,M
MH16,MH,2014,GY,M,cmn,M
MH19,MH,2014,GY,F,cmn,F
MH20,MH,2014,GY,M,wht,M
MH21,MH,2014,GY,M,cmn,M
MH22,MH,2014,GY,M,cmn,M
MH26,MH,2014,GY,F,cmn,F
MH28,MH,2014,GY,F,wht,F
MH29,MH,2014,GY,M,wht,M
MH31,MH,2014,GY,F,wht,F
MH35,MH,2014,GY,M,wht,M
MH36,MH,2014,GY,M,wht,M
MH5,MH,2014,GY,F,cmn,F
MH7,MH,2014,GY,F,wht,F
