id,pop,year,region,sex
AL1,AL,2014,AN,F
AL11,AL,2014,AN,F
AL12,AL,2014,AN,M
AL13,AL,2014,AN,F
AL14,AL,2014,AN,F
AL2,AL,2014,AN,F
AL21,AL,2014,AN,M
AL22,AL,2014,AN,M
AL23,AL,2014,AN,M
AL24,AL,2014,AN,M
AL29,AL,2014,AN,M
AL3,AL,2014,AN,F
AL32,AL,2014,AN,M
AL5,AL,2014,AN,F
AL6,AL,2014,AN,M
AL7,AL,2014,AN,F
BR18,BR,2014,CB,F
BR19,BR,2014,CB,M
BR20,BR,2014,CB,F
BR21,BR,2014,CB,M
BR23,BR,2014,CB,F
BR24,BR,2014,CB,M
BR25,BR,2014,CB,F
BR26,BR,2014,CB,NA
BR28,BR,2014,CB,F
BR29,BR,2014,CB,M
BR31,BR,2014,CB,M
BR32,BR,2014,CB,M
BR33,BR,2014,CB,F
BR36,BR,2014,CB,M
BR37,BR,2014,CB,F
CB1,CB,2014,CB,NA
CB2,CB,2014,CB,NA
CL11,CL,2014,CB,M
CL12,CL,2014,CB,M
CL17,CL,2014,CB,F
CL19,CL,2014,CB,M
CL21,CL,2014,CB,M
CL23,CL,2014,CB,M
CL24,CL,2014,CB,F
CL25,CL,2014,CB,M
CL27,CL,2014,CB,F
CL28,CL,2014,CB,M
CL29,CL,2014,CB,M
CL31,CL,2014,CB,F
CL33,CL,2014,CB,F
CL38,CL,2014,CB,M
CL39,CL,2014,CB,M
CL40,CL,2014,CB,F
CL41,CL,2014,CB,F
CL42,CL,2014,CB,M
CL43,CL,2014,CB,NA
CL45,CL,2014,CB,M
CL47,CL,2014,CB,F
CL50,CL,2014,CB,F
CL53,CL,2014,CB,F
CL54,CL,2014,CB,F
CL56,CL,2014,CB,F
CL58,CL,2014,CB,F
CL63,CL,2014,CB,F
CL64,CL,2014,CB,NA
CL64.2,CL,2014,CB,NA
CL9,CL,2014,CB,M
CPN10,CPN,2014,AN,F
CPN12,CPN,2014,AN,M
CPN13,CPN,2014,AN,M
CPN15,CPN,2014,AN,F
CPN17,CPN,2014,AN,M
CPN19,CPN,2014,AN,F
CPN20,CPN,2014,AN,M
CPN23,CPN,2014,AN,M
CPN25,CPN,2014,AN,F
CPN27,CPN,2014,AN,F
CPN28,CPN,2014,AN,F
CPN33,CPN,2014,AN,M
CPN35,CPN,2014,AN,NA
CPN6,CPN,2014,AN,F
CPN8,CPN,2014,AN,M
CPN9,CPN,2014,AN,M
CPSE11,CPSE,2014,AN,F
CPSE12,CPSE,2014,AN,M
CPSE15,CPSE,2014,AN,F
CPSE16,CPSE,2014,AN,F
CPSE19,CPSE,2014,AN,F
CPSE2,CPSE,2014,AN,M
CPSE20,CPSE,2014,AN,M
CPSE21,CPSE,2014,AN,M
CPSE23,CPSE,2014,AN,F
