pop1 ecotype1 pop2 ecotype2 geography ecology group reg1 reg2 geography2 group2 fst
al marine cl marine allo S allo_S ns ns para para_S 0.00774148
al marine cl white allo D allo_D ns ns para para_D 0.0220631
al marine cp marine para S para_S ns ns para para_S 0.0020326
al marine ln marine allo S allo_S ns ns para para_S 0.0144715
al marine mh marine allo S allo_S ns ns para para_S 0.0108013
al marine mh white allo D allo_D ns ns para para_D 0.0195283
al marine sk marine allo S allo_S ns ns para para_S 0.0206601
al marine sr marine allo S allo_S ns ns para para_S 0.00293252
al marine sr white allo D allo_D ns ns para para_D 0.0176917
bea lake al marine allo D allo_D al ns allo allo_D 0.55227
bea lake boot lake allo S allo_S al bc allo allo_S 0.508077
bea lake boot stream allo D allo_D al bc allo allo_D 0.491924
bea lake cl marine allo D allo_D al ns allo allo_D 0.557906
bea lake cl white allo D allo_D al ns allo allo_D 0.551263
bea lake constance lake allo S allo_S al sl allo allo_S 0.615672
bea lake constance stream allo D allo_D al sl allo allo_D 0.605827
bea lake cp marine allo D allo_D al ns allo allo_D 0.555962
bea lake denmark marine allo D allo_D al ne allo allo_D 0.569496
bea lake geneva lake allo S allo_S al sl allo allo_S 0.654269
bea lake geneva stream allo D allo_D al sl allo allo_D 0.65982
bea lake japan japansea allo D allo_D al jp allo allo_D 0.831501
bea lake japan marine allo D allo_D al jp allo allo_D 0.480277
bea lake joes lake allo S allo_S al bc allo allo_S 0.553922
bea lake joes stream allo D allo_D al bc allo allo_D 0.543653
bea lake litcampbell marine allo D allo_D al bc allo allo_D 0.366953
bea lake ln marine allo D allo_D al ns allo allo_D 0.548444
bea lake mh marine allo D allo_D al ns allo allo_D 0.548048
bea lake mh white allo D allo_D al ns allo allo_D 0.523697
bea lake misty lake allo S allo_S al bc allo allo_S 0.405547
bea lake misty stream allo D allo_D al bc allo allo_D 0.4055
bea lake mud lake allo S allo_S al al para para_S 0.178491
bea lake rab marine allo D allo_D al al para para_D 0.233004
bea lake res marine allo D allo_D al al para para_D 0.212109
bea lake roberts lake allo S allo_S al bc allo allo_S 0.349261
bea lake roberts stream allo D allo_D al bc allo allo_D 0.410718
bea lake sk marine allo D allo_D al ns allo allo_D 0.554804
bea lake sr marine allo D allo_D al ns allo allo_D 0.54839
bea lake sr white allo D allo_D al ns allo allo_D 0.545157
boot lake al marine allo D allo_D bc ns allo allo_D 0.627205
boot lake boot stream para D para_D bc bc para para_D 0.308712
boot lake cl marine allo D allo_D bc ns allo allo_D 0.622112
boot lake cl white allo D allo_D bc ns allo allo_D 0.631525
boot lake constance lake allo S allo_S bc sl allo allo_S 0.627748
boot lake constance stream allo D allo_D bc sl allo allo_D 0.61714
boot lake cp marine allo D allo_D bc ns allo allo_D 0.632913
boot lake geneva lake allo S allo_S bc sl allo allo_S 0.651007
boot lake geneva stream allo D allo_D bc sl allo allo_D 0.659107
boot lake joes lake allo S allo_S bc bc para para_S 0.572639
boot lake joes stream allo D allo_D bc bc para para_D 0.572705
boot lake ln marine allo D allo_D bc ns allo allo_D 0.628572
boot lake mh marine allo D allo_D bc ns allo allo_D 0.611681
boot lake mh white allo D allo_D bc ns allo allo_D 0.603968
boot lake misty lake allo S allo_S bc bc para para_S 0.437443
boot lake misty stream allo D allo_D bc bc para para_D 0.437512
boot lake roberts lake allo S allo_S bc bc para para_S 0.349873
boot lake roberts stream allo D allo_D bc bc para para_D 0.426131
boot lake sk marine allo D allo_D bc ns allo allo_D 0.626784
boot lake sr marine allo D allo_D bc ns allo allo_D 0.630547
boot lake sr white allo D allo_D bc ns allo allo_D 0.630694
boot stream al marine allo D allo_D bc ns allo allo_D 0.6549
boot stream cl marine allo D allo_D bc ns allo allo_D 0.663673
boot stream cl white allo D allo_D bc ns allo allo_D 0.660336
boot stream constance lake allo D allo_D bc sl allo allo_D 0.676086
boot stream constance stream allo S allo_S bc sl allo allo_S 0.661714
boot stream cp marine allo D allo_D bc ns allo allo_D 0.650332
boot stream geneva lake allo D allo_D bc sl allo allo_D 0.702449
boot stream geneva stream allo S allo_S bc sl allo allo_S 0.71291
boot stream joes lake allo D allo_D bc bc para para_D 0.580606
boot stream joes stream allo S allo_S bc bc para para_S 0.578594
boot stream ln marine allo D allo_D bc ns allo allo_D 0.653777
boot stream mh marine allo D allo_D bc ns allo allo_D 0.661338
boot stream mh white allo D allo_D bc ns allo allo_D 0.653709
boot stream misty lake allo D allo_D bc bc para para_D 0.415741
boot stream misty stream allo S allo_S bc bc para para_S 0.412849
boot stream roberts lake allo D allo_D bc bc para para_D 0.339465
boot stream roberts stream allo S allo_S bc bc para para_S 0.414002
boot stream sk marine allo D allo_D bc ns allo allo_D 0.669306
boot stream sr marine allo D allo_D bc ns allo allo_D 0.665569
boot stream sr white allo D allo_D bc ns allo allo_D 0.660683
cl marine cl white para D para_D ns ns para para_D 0.0217593
cl marine cp marine allo S allo_S ns ns para para_S 0.00691306
cl marine ln marine allo S allo_S ns ns para para_S 0.0196764
cl marine mh marine allo S allo_S ns ns para para_S 0.0142204
cl marine mh white allo D allo_D ns ns para para_D 0.0193135
cl marine sk marine allo S allo_S ns ns para para_S 0.0242994
cl marine sr marine allo S allo_S ns ns para para_S 0.0043968
cl marine sr white allo D allo_D ns ns para para_D 0.0183033
cl white cp marine allo D allo_D ns ns para para_D 0.0222301
cl white ln marine allo D allo_D ns ns para para_D 0.0266237
cl white mh marine allo D allo_D ns ns para para_D 0.0262994
cl white mh white allo S allo_S ns ns para para_S 0.00541105
cl white sk marine allo D allo_D ns ns para para_D 0.0325225
cl white sr marine allo D allo_D ns ns para para_D 0.0174634
cl white sr white allo S allo_S ns ns para para_S 0.00528494
constance lake al marine allo D allo_D sl ns allo allo_D 0.494267
constance lake cl marine allo D allo_D sl ns allo allo_D 0.507831
constance lake cl white allo D allo_D sl ns allo allo_D 0.500103
constance lake constance stream para D para_D sl sl para para_D 0.0686465
constance lake cp marine allo D allo_D sl ns allo allo_D 0.477151
constance lake geneva lake allo S allo_S sl sl para para_S 0.416881
constance lake geneva stream allo D allo_D sl sl para para_D 0.440794
constance lake joes lake allo S allo_S sl bc allo allo_S 0.682448
constance lake joes stream allo D allo_D sl bc allo allo_D 0.683932
constance lake ln marine allo D allo_D sl ns allo allo_D 0.480379
constance lake mh marine allo D allo_D sl ns allo allo_D 0.478001
constance lake mh white allo D allo_D sl ns allo allo_D 0.465241
constance lake misty lake allo S allo_S sl bc allo allo_S 0.571437
constance lake misty stream allo D allo_D sl bc allo allo_D 0.570603
constance lake roberts lake allo S allo_S sl bc allo allo_S 0.502892
constance lake roberts stream allo D allo_D sl bc allo allo_D 0.570409
constance lake sk marine allo D allo_D sl ns allo allo_D 0.486542
constance lake sr marine allo D allo_D sl ns allo allo_D 0.499605
constance lake sr white allo D allo_D sl ns allo allo_D 0.493688
constance stream al marine allo D allo_D sl ns allo allo_D 0.480958
constance stream cl marine allo D allo_D sl ns allo allo_D 0.490586
constance stream cl white allo D allo_D sl ns allo allo_D 0.494227
constance stream cp marine allo D allo_D sl ns allo allo_D 0.474061
constance stream geneva lake allo D allo_D sl sl para para_D 0.359844
constance stream geneva stream allo S allo_S sl sl para para_S 0.383643
constance stream joes lake allo D allo_D sl bc allo allo_D 0.672943
constance stream joes stream allo S allo_S sl bc allo allo_S 0.672266
constance stream ln marine allo D allo_D sl ns allo allo_D 0.478822
