pop year id std.length
AL 2012 1 3.38293940900513
AL 2012 10 2.63604978432066
AL 2012 11 3.12658518417794
AL 2012 12 3.51496393581157
AL 2012 13 2.4807746978041
AL 2012 14 3.33937038495058
AL 2012 15 3.31180125641621
AL 2012 16 3.83865652991056
AL 2012 17 3.86333811287311
AL 2012 18 2.41248907367992
AL 2012 2 3.31914679737128
AL 2012 3 3.98102157885335
AL 2012 4 3.21774314216564
AL 2012 5 3.82349515504754
AL 2012 6 3.33026402248605
AL 2012 7 3.47002973128473
AL 2012 8 3.06868608407866
AL 2012 9 3.40984914447971
CP 2012 14 3.64908507926151
CP 2012 15 4.49605955795795
CP 2012 16 3.27989398746743
CP 2012 17 3.54147753118554
CP 2012 18 3.3842384866296
CP 2012 20 4.24909909897333
CP 2012 25 4.48315000422694
CP 2012 26 3.57828301982948
CP 2012 27 3.5442518698061
CP 2012 29 4.0475758584113
CP 2012 32 4.17025924464223
CP 2012 33 4.08096155117198
CP 2012 39 3.7053007354505
CP 2012 40 3.6243670701517
CP 2012 49 3.37887000222027
CP 2012 50 3.47069596280645
CP 2012 53 4.37904616047331
CP 2012 54 3.73596584796221
CP 2012 7 3.95564440636011
CP 2012 9 3.8657119042267
PP 2012 19 3.31819964899643
PPA 2012 21 3.29401266544317
PP 2012 24 3.38135144744598
PP 2012 25 2.92569152299349
PP 2012 27 3.13054949210199
PP 2012 28 3.06831522448395
PP 2012 29 2.9600608840833
PP 2012 32 2.81938761234155
PP 2012 33 3.79205762135598
PP 2012 34 2.88782467297791
PP 2012 35 3.01321348496983
PP 2012 36 2.83328139388325
PP 2012 37 3.01170435675499
PP 2012 41 3.32028372772343
PP 2012 42 2.99775309640671
PP 2012 43 3.18079313038494
PP 2012 44 3.04350182252829
PP 2012 46 3.10865251703966
PP 2012 47 3.50854609783383
PP 2012 50 3.27731113878817
PQ 2012 1 3.62264138078861
PQ 2012 10 3.88957152048204
PQ 2012 11 4.09531779612401
PQ 2012 12 3.68526840486443
PQ 2012 13 3.99426253630942
PQ 2012 14 3.73096631254478
PQ 2012 15 3.51352629123506
PQ 2012 16 3.99205814774585
PQ 2012 17 3.9267471056079
PQ 2012 18 4.01491511720983
PQ 2012 19 3.53974143330498
PQ 2012 2 3.59040138271823
PQ 2012 3 3.5048112403158
PQ 2012 4 3.7752097061223
PQ 2012 5 3.72200319618347
PQ 2012 6 3.68409388119698
PQ 2012 7 3.54048363448456
PQ 2012 8 3.66577758574153
PQ 2012 9 3.97311618990736
SF 2012 15 2.97865603515747
SF 2012 21 3.10294282634437
SF 2012 22 3.2020741813281
SF 2012 23 3.19683633436809
SF 2012 25 3.75671138875493
SF 2012 31 3.14244463952828
SF 2012 35 3.50652438837234
SF 2012 38 3.89471899018402
SF 2012 39 3.69182651133555
SF 2012 40 3.5786608614173
SF 2012 41 3.61383333263863
SF 2012 42 2.98975971049464
SF 2012 43 3.95595994434853
SF 2012 44 3.63696755226796
SF 2012 45 3.56979740787737
SF 2012 48 2.90425258436659
SF 2012 50 3.22155955390569
SF 2012 52 3.44623037265009
SF 2012 53 2.73659207400811
SF 2012 54 3.6656621538778
SR 2012 11 3.2284137927298
SR 2012 13 3.09550845763664
SR 2012 16 3.01679709471751
SR 2012 17 3.65902896971997
SR 2012 18 3.01674696656249
SR 2012 19 3.64128978690354
SR 2012 20 3.07536058710145
SR 2012 23 3.16234278738549
SR 2012 25 3.12633061031619
SR 2012 27 3.84118952734697
SR 2012 33 3.73944446220344
SR 2012 34 3.59517834051553
SR 2012 36 3.13666418426519
SR 2012 37 3.59568782084875
SR 2012 41 3.00057492310607
SR 2012 42 3.43905929602151
SR 2012 43 2.98813345399432
SR 2012 45 3.0075552192437
SR 2012 48 3.15155523650403
SR 2012 56 3.77549806941813
WR 2012 1 3.81175204345508
WR 2012 12 4.16496542430594
WR 2012 17 3.22149697029192
WR 2012 18 3.84963286244611
WR 2012 2 3.68635430805288
WR 2012 20 3.98621100744956
WR 2012 21 3.88716168064926
WR 2012 22 3.68741041370662
WR 2012 23 3.97085432870308
WR 2012 24 3.73494052137327
WR 2012 25 3.94324518175893
WR 2012 3 3.36731182050311
WR 2012 36 4.43033711129074
WR 2012 4 3.56014211432353
WR 2012 50 4.47314997202922
WR 2012 51 3.59436556013436
WR 2012 53 4.03506885256596
WR 2012 54 3.89186059898861
WR 2012 58 3.98850365877531
WR 2012 7 3.60499732359471
