population,year,individual,sex,species,std.length,photo.id,std.length.raw,depth.spine.1,depth.spine.2,spine.length.1,spine.length.2,spine.length.3,spine.length.pelvic,lndmrk.x1,lndmrk.x2,lndmrk.x3,lndmrk.x4,lndmrk.x5,lndmrk.x6,lndmrk.x7,lndmrk.x8,lndmrk.x9,lndmrk.x10,lndmrk.x11,lndmrk.x12,lndmrk.x13,lndmrk.x14,lndmrk.x15,lndmrk.x16,lndmrk.x17,lndmrk.x18,lndmrk.x19,lndmrk.y1,lndmrk.y2,lndmrk.y3,lndmrk.y4,lndmrk.y5,lndmrk.y6,lndmrk.y7,lndmrk.y8,lndmrk.y9,lndmrk.y10,lndmrk.y11,lndmrk.y12,lndmrk.y13,lndmrk.y14,lndmrk.y15,lndmrk.y16,lndmrk.y17,lndmrk.y18,lndmrk.y19,correction,std.length,depth.1,depth.2,spine.1,spine.2,spine.3,spine.pelvic,x.1,y.1,x.2,y.2,x.3,y.3,x.4,y.4,x.5,y.5,x.6,y.6,x.7,y.7,x.8,y.8,x.9,y.9,x.10,y.10,x.11,y.11,x.12,y.12,x.13,y.13,x.14,y.14,x.15,y.15,x.16,y.16,x.17,y.17,x.18,y.18,x.19,y.19,notes
AL-S,2014,1,,C,5.12,10,1980.184,474.009,465.01,184.835,224.179,0,312.519,918,1028,1096,1182,1172,1110,942,903,874,812,802,735,721,730,759,783,971,1019,1004,548,701,855,1288,1533,1884,2288,2427,2509,2442,2355,1956,1456,1278,966,668,721,879,1264,387.105,5.12,1.22,1.2,0.47748027,0.579,0,0.807323594,2.371449607,1.415636584,2.655610235,1.810878186,2.831273169,2.208703065,3.053435115,3.327262629,3.02760233,3.960165846,2.867439067,4.866896578,2.433448289,5.910541068,2.33270043,6.269616771,2.257785355,6.481445603,2.097622092,6.308365947,2.071789308,6.083620723,1.898709652,5.052892626,1.862543754,3.761253407,1.88579326,3.301429845,1.960708335,2.495446972,2.022707017,1.725629997,2.508363364,1.862543754,2.632360729,2.270701748,2.593611552,3.265263946,"e.g. no head, very bent, not a threespine, etc."
AL-S,2014,10,,C,5.06,18,1975.103,462.088,456.039,228.473,233.384,80.722,342.053,888,972,1044,1144,1136,1132,1008,976,948,896,888,784,696,696,712,764,936,928,936,306,454,602,1006,1222,1534,2054,2206,2274,2202,2030,1710,1198,1022,734,422,466,622,1022,390.046,5.06,1.18,1.17,0.585759116,0.598,0.206955077,0.876955539,2.276654548,0.784522851,2.492013762,1.163965276,2.676607375,1.543407701,2.932987391,2.579182968,2.91247699,3.132963804,2.902221789,3.932869456,2.584310568,5.266045543,2.502268963,5.655743169,2.430482558,5.83008158,2.29716495,5.645487968,2.276654548,5.204514339,2.010019331,4.384098286,1.784404916,3.0714326,1.784404916,2.620203771,1.825425719,1.881829323,1.958743328,1.081923671,2.399716956,1.194730878,2.379206555,1.594683704,2.399716956,2.620203771,
AL-S,2014,11,,C,4.92,19,1920.021,459,441.041,201.604,209.313,60,264.068,1036,1100,1172,1248,1240,1208,1064,1056,1008,972,948,832,800,804,832,884,1056,1056,1040,626,806,946,1374,1574,1922,2358,2466,2546,2478,2362,2010,1518,1374,1074,770,814,982,1354,390.046,4.92,1.18,1.13,0.516872369,0.537,0.15382801,0.677017583,2.656096973,1.604938905,2.820180184,2.066422935,3.004773796,2.425354958,3.199622609,3.52266143,3.179112207,4.035421463,3.097070602,4.927623921,2.727883378,6.045440794,2.707372977,6.322331212,2.584310568,6.527435226,2.492013762,6.353096814,2.430482558,6.055695995,2.133081739,5.153238336,2.051040134,3.891848654,2.061295334,3.52266143,2.133081739,2.75352138,2.266399348,1.974126129,2.707372977,2.086933336,2.707372977,2.517651764,2.666352174,3.471385426,
AL-S,2014,12,,C,5.23,20,2038.857,465.155,477.038,237.739,241.868,88.589,312.231,980,1096,1168,1276,1304,1268,1032,948,864,868,900,868,836,824,836,856,1048,1068,1076,558,726,890,1298,1570,1898,2374,2522,2582,2474,2362,1974,1498,1326,1046,726,746,926,1338,390.046,5.23,1.19,1.22,0.609515288,0.62,0.227124493,0.80049789,2.512524164,1.430600493,2.809924983,1.861318921,2.994518595,2.281782149,3.271409013,3.327812617,3.343195418,4.025166262,3.250898612,4.866092717,2.645841773,6.086461597,2.430482558,6.465904022,2.215123344,6.619732032,2.225378545,6.342841614,2.30742015,6.055695995,2.225378545,5.06094153,2.14333694,3.84057265,2.112571338,3.399599022,2.14333694,2.681734975,2.194612943,1.861318921,2.686862575,1.912594925,2.738138579,2.374078955,2.75864898,3.430364624,
AL-S,2014,13,,C,4.83,21,1885.492,426,417,235.228,240,102.528,318.226,920,1024,1084,1176,1160,1148,1052,1012,964,912,940,808,760,760,776,808,964,968,968,534,686,822,1218,1442,1790,2210,2354,2422,2370,2238,1878,1410,1230,974,670,706,862,1226,390.046,4.83,1.09,1.07,0.603077586,0.615,0.262861304,0.815867872,2.358696154,1.369069289,2.625331371,1.758766915,2.779159381,2.107443737,3.015028997,3.122708604,2.974008194,3.696999841,2.943242592,4.589202299,2.697117776,5.665998369,2.594565769,6.035185593,2.471503361,6.209524005,2.338185752,6.076206396,2.409972157,5.737784774,2.071550535,4.814816714,1.948488127,3.614958236,1.948488127,3.153474206,1.98950893,2.497141363,2.071550535,1.717746112,2.471503361,1.810042918,2.481758562,2.209995744,2.481758562,3.143219005,
AL-S,2014,14,,C,4.88,22,1890.467,456.01,444,224.66,231.758,64.9,300,1080,1176,1224,1324,1324,1280,1116,1076,992,992,992,900,884,876,900,956,1108,1112,1100,614,790,942,1338,1566,1886,2322,2422,2498,2402,2302,1946,1486,1346,1022,738,806,970,1334,387.186,4.88,1.18,1.15,0.580237922,0.599,0.167619697,0.774821404,2.789357053,1.58580114,3.037299902,2.04036303,3.161271327,2.432939208,3.419545128,3.45570346,3.419545128,4.044567727,3.305904656,4.871043891,2.882335622,5.997117664,2.779026101,6.255391466,2.562076108,6.451679555,2.562076108,6.203736705,2.562076108,5.945462904,2.324464211,5.026008172,2.283140403,3.837948686,2.262478499,3.476365364,2.324464211,2.639558248,2.46909754,1.906060653,2.861673718,2.081686838,2.87200467,2.505255872,2.841011813,3.445372508,
AL-S,2014,15,,C,5.23,23,2039.79,495.327,495.445,236.677,261.947,99.86,321.602,952,1052,1128,1268,1276,1272,1148,1152,1148,1056,1008,852,776,772,788,816,996,1008,1028,502,674,822,1226,1458,1798,2258,2410,2522,2438,2290,1938,1450,1258,966,662,694,858,1242,390.012,5.23,1.27,1.27,0.60684543,0.672,0.256043404,0.824595141,2.440950535,1.287139883,2.697352902,1.728151954,2.892218701,2.107627458,3.251182015,3.143493021,3.271694204,3.738346512,3.26143811,4.610114561,2.943499174,5.789565449,2.953755269,6.179297047,2.943499174,6.466467698,2.707608997,6.25108971,2.58453586,5.871614207,2.184548168,4.969077875,1.989682369,3.717834323,1.979426274,3.225541778,2.020450653,2.476846866,2.092243316,1.69738367,2.553767576,1.779432428,2.58453586,2.19993231,2.635816334,3.184517399,
AL-S,2014,16,,C,4.83,24,1869.299,462.243,459.245,212.132,206.63,56.604,306.529,984,1092,1144,1252,1244,1248,1140,1132,1084,1036,1036,896,808,804,836,864,1032,1040,1028,658,818,958,1358,1566,1858,2298,2438,2522,2430,2314,1982,1526,1386,1106,794,830,998,1342,387.012,4.83,1.19,1.19,0.548127707,0.534,0.146259031,0.79204004,2.54255682,1.700205678,2.821617934,2.113629552,2.955980693,2.475375441,3.235041807,3.508935123,3.214370614,4.046386159,3.224706211,4.800884727,2.945645096,5.937800378,2.924973903,6.299546267,2.800946741,6.516593801,2.676919579,6.278875074,2.676919579,5.979142766,2.31517369,5.121288229,2.087790559,3.94303019,2.077454963,3.581284301,2.160139737,2.857792523,2.232488915,2.051615971,2.666583982,2.144636342,2.687255176,2.578731409,2.656248385,3.467592736,
AL-S,2014,18,,C,3.35,17,1305.055,306.132,318.509,113.842,94.868,48.374,216.749,1228,1172,1128,1068,1068,1088,1200,1216,1252,1284,1288,1356,1380,1364,1336,1316,1208,1200,1216,2592,2464,2396,2096,1924,1736,1428,1340,1292,1348,1448,1656,1992,2096,2240,2516,2484,2364,2120,390.012,3.35,0.78,0.82,0.291893583,0.243,0.124032081,0.555749567,3.148621068,6.645949355,3.005035742,6.317754326,2.892218701,6.143400716,2.738377281,5.374193615,2.738377281,4.933181543,2.789657754,4.451145093,3.076828405,3.661425802,3.117852784,3.435791719,3.210157636,3.312718583,3.292206394,3.456303909,3.302462488,3.712706276,3.476816098,4.246023199,3.538352666,5.107535153,3.497328287,5.374193615,3.425535625,5.743413023,3.374255151,6.451083556,3.097340595,6.369034799,3.076828405,6.061351958,3.117852784,5.435730183,
AL-S,2014,19,,C,3.3,18,1306.823,294.138,294.138,148.189,139.169,56.604,241.197,992,928,884,832,844,844,896,888,916,968,996,1092,1136,1120,1112,1084,980,976,980,2748,2636,2540,2260,2096,1872,1580,1512,1468,1500,1588,1804,2136,2260,2432,2668,2644,2512,2276,396.011,3.3,0.74,0.74,0.374204252,0.351,0.142935424,0.609066415,2.504980922,6.939201184,2.34336925,6.656380757,2.232261225,6.413963248,2.100951741,5.706912182,2.13125393,5.292782271,2.13125393,4.727141418,2.262563414,3.989788162,2.242361955,3.818075761,2.313067061,3.706967736,2.444376545,3.787773572,2.515081652,4.009989622,2.75749916,4.555429016,2.868607185,5.393789566,2.828204267,5.706912182,2.808002808,6.141243551,2.737297701,6.737186593,2.474678734,6.676582216,2.464578004,6.343258142,2.474678734,5.7473151,
AL-S,2014,2,,C,4.68,11,1827.121,468.087,453.486,199.449,230.825,56.604,306.94,920,1036,1116,1256,1244,1228,1024,948,876,880,888,864,800,788,792,812,984,996,1024,522,674,834,1210,1410,1722,2178,2302,2346,2250,2138,1810,1394,1234,986,666,698,874,1238,390.104,4.68,1.2,1.16,0.511271353,0.592,0.145099768,0.786815824,2.358345467,1.338104711,2.655702069,1.727744396,2.860775588,2.137891434,3.219654246,3.101736973,3.188893218,3.61442077,3.147878514,4.414207493,2.624941041,5.583126551,2.430121198,5.900990505,2.245555031,6.01378094,2.255808707,5.767692718,2.276316059,5.480589791,2.214794004,4.639788364,2.050735189,3.573406066,2.019974161,3.163259028,2.030227837,2.52753112,2.081496216,1.707237044,2.522404282,1.789266452,2.55316531,2.240428194,2.624941041,3.173512704,
