population,year,individual,std.length
AL-S,2014,1,5.12
AL-S,2014,10,5.06
AL-S,2014,11,4.92
AL-S,2014,12,5.23
AL-S,2014,13,4.83
AL-S,2014,14,4.88
AL-S,2014,15,5.23
AL-S,2014,16,4.83
AL-S,2014,18,3.35
AL-S,2014,19,3.3
AL-S,2014,2,4.68
AL-S,2014,3,5.18
AL-S,2014,4,4.23
AL-S,2014,5,4.98
AL-S,2014,6,4.8
AL-S,2014,7,4.66
AL-S,2014,8,4.98
AL-S,2014,9,4.98
AL,2014,1,6.01
AL,2014,10,5.62
AL,2014,11,5.91
AL,2014,12,4.97
AL,2014,13,5.75
AL,2014,14,5.58
AL,2014,15,5.07
AL,2014,16,5.06
AL,2014,17,5.95
AL,2014,18,5.23
AL,2014,19,5.56
AL,2014,2,5.79
AL,2014,20,5.65
AL,2014,21,5.18
AL,2014,22,5.35
AL,2014,23,5.2
AL,2014,24,5.33
AL,2014,25,5.45
AL,2014,26,5.41
AL,2014,27,4.79
AL,2014,28,4.99
AL,2014,29,5.17
AL,2014,3,4.89
AL,2014,30,4.91
AL,2014,31,5.32
AL,2014,32,5.44
AL,2014,33,5.18
AL,2014,34,5.6
AL,2014,34,5.53
AL,2014,35,5.5
AL,2014,35,5.54
AL,2014,36,5.44
AL,2014,37,6.16
AL,2014,38,4.83
AL,2014,39,4.54
AL,2014,4,4.9
AL,2014,40,5.13
AL,2014,41,4.94
AL,2014,42,4.95
AL,2014,43,5.29
AL,2014,44,4.9
AL,2014,45,4.2
AL,2014,5,5.52
AL,2014,6,5.42
AL,2014,7,5.45
AL,2014,8,5.01
AL,2014,9,4.94
BK,2014,1,5.53
BK,2014,10,4.93
BK,2014,11,5.25
BK,2014,12,5.74
BK,2014,13,5.16
BK,2014,14,5.09
BK,2014,15,5.3
BK,2014,16,5.11
BK,2014,17,5.3
BK,2014,18,5.19
BK,2014,19,5.15
BK,2014,2,4.77
BK,2014,20,5.36
BK,2014,21,5.88
BK,2014,22,5.44
BK,2014,23,5.2
BK,2014,24,5.14
BK,2014,25,4.96
BK,2014,26,5.44
BK,2014,27,5.33
BK,2014,28,4.93
BK,2014,29,5.36
BK,2014,3,5.83
BK,2014,30,4.59
BK,2014,31,5.07
BK,2014,32,4.61
BK,2014,33,4.75
BK,2014,34,5.53
BK,2014,35,4.77
BK,2014,36,4.3
BK,2014,37,4.66
BK,2014,38,6.16
BK,2014,39,5.16
BK,2014,4,5.49
BK,2014,40,5.64
BK,2014,41,4.77
BK,2014,42,4.83
BK,2014,43,4.4
BK,2014,44,5.39
BK,2014,45,4.96
BK,2014,46,5.83
BK,2014,47,4.74
BK,2014,48,4.37
BK,2014,49,4.67
BK,2014,5,5.02
BK,2014,50,4.94
BK,2014,51,5.46
BK,2014,52,5.24
BK,2014,53,5.1
BK,2014,54,5.02
BK,2014,55,4.66
BK,2014,56,5.51
BK,2014,57,5.29
BK,2014,58,4.63
BK,2014,59,5.74
BK,2014,6,4.98
BK,2014,60,5.26
BK,2014,61,4.96
BK,2014,62,4.59
BK,2014,63,4.62
BK,2014,64,6.27
BK,2014,65,4.72
BK,2014,66,5.46
BK,2014,67,5.71
BK,2014,68,4.92
BK,2014,69,5.17
BK,2014,7,5.97
BK,2014,70,4.5
BK,2014,71,4.92
BK,2014,72,4.99
BK,2014,73,5.5
BK,2014,8,5.01
BK,2014,9,6.69
BR,2014,1,4.8
BR,2014,10,5.08
BR,2014,11,5.27
BR,2014,12,6.75
BR,2014,13,5.66
BR,2014,14,5.73
BR,2014,15,5.25
BR,2014,16,5.74
BR,2014,17,5.79
BR,2014,18,5.17
BR,2014,19,6.03
BR,2014,2,4.69
BR,2014,20,5.5
BR,2014,21,5.17
BR,2014,22,5.48
BR,2014,23,5.63
BR,2014,24,5.66
BR,2014,25,5.72
BR,2014,26,5.7
BR,2014,27,4.84
BR,2014,28,5
BR,2014,29,5.13
BR,2014,3,5.17
BR,2014,30,5.3
BR,2014,31,5.18
BR,2014,32,5.04
BR,2014,33,5.72
BR,2014,34,5.63
BR,2014,35,5.07
BR,2014,36,5.17
BR,2014,37,5.7
BR,2014,38,5.7
BR,2014,39,5.26
BR,2014,4,4.9
BR,2014,40,5.43
BR,2014,41,5.65
BR,2014,42,5.13
BR,2014,43,5.79
BR,2014,44,5.84
BR,2014,45,5.05
BR,2014,46,5.23
BR,2014,47,5.33
BR,2014,48,6.25
BR,2014,49,6.24
BR,2014,5,4.73
BR,2014,50,5.34
BR,2014,51,5.45
BR,2014,52,5.29
BR,2014,53,5.28
BR,2014,54,5.63
BR,2014,55,5.41
BR,2014,56,5.09
BR,2014,57,6.15
BR,2014,58,5.21
BR,2014,59,4.83
BR,2014,6,5.48
BR,2014,60,6.22
BR,2014,61,5.29
BR,2014,62,5.59
BR,2014,63,5.69
BR,2014,64,5.12
BR,2014,65,5.27
BR,2014,66,5.21
BR,2014,67,5.62
BR,2014,68,5.51
BR,2014,69,5.81
BR,2014,7,6.02
BR,2014,70,5.72
BR,2014,8,5.25
BR,2014,9,5.28
CB,2014,1,3.89
CL,2014,1,4.67
CL,2014,10,5.47
CL,2014,11,5.89
CL,2014,12,5.39
CL,2014,13,3.55
CL,2014,14,3.86
CL,2014,16,3.87
CL,2014,17,4.89
CL,2014,18,3.75
CL,2014,19,3.99
CL,2014,2,3.92
CL,2014,20,3.64
CL,2014,21,3.84
CL,2014,22,4.09
CL,2014,23,4.73
CL,2014,24,5.4
CL,2014,25,3.49
CL,2014,26,4.12
CL,2014,27,5.19
CL,2014,28,4.67
CL,2014,29,3.82
CL,2014,3,4.2
CL,2014,30,4.06
CL,2014,31,4
CL,2014,32,4.05
CL,2014,33,3.85
CL,2014,34,3.81
CL,2014,35,3.6
CL,2014,36,4.33
CL,2014,37,3.76
CL,2014,38,4.94
CL,2014,39,3.89
CL,2014,4,5.51
CL,2014,40,3.53
CL,2014,41,4.13
CL,2014,42,3.61
CL,2014,43,5.32
CL,2014,44,4.01
CL,2014,45,3.54
CL,2014,46,3.74
CL,2014,47,3.9
CL,2014,48,4.08
CL,2014,49,3.51
CL,2014,5,3.93
CL,2014,50,5.18
CL,2014,51,3.49
CL,2014,52,4
CL,2014,54,4.27
CL,2014,55,3.87
CL,2014,56,3.36
CL,2014,57,3.85
CL,2014,58,5.13
CL,2014,59,3.82
CL,2014,6,3.68
CL,2014,60,4.25
CL,2014,61,3.6
CL,2014,62,3.72
CL,2014,63,3.49
CL,2014,64,5.82
CL,2014,65,3.7
CL,2014,7,4.25
CL,2014,8,5.38
CL,2014,9,5.49
CPN,2014,1,5.83
CPN,2014,10,5.17
CPN,2014,11,5.14
CPN,2014,12,5.06
CPN,2014,13,5.06
CPN,2014,14,5.27
CPN,2014,15,5.39
CPN,2014,16,5.16
CPN,2014,17,4.73
CPN,2014,18,5.35
CPN,2014,19,5.66
CPN,2014,2,4.93
CPN,2014,20,5.1
CPN,2014,21,5.18
CPN,2014,22,5.49
CPN,2014,23,5.03
CPN,2014,24,4.86
CPN,2014,25,4.98
CPN,2014,26,5.17
CPN,2014,26,5.18
CPN,2014,27,5.66
CPN,2014,27,5.58
CPN,2014,28,4.98
CPN,2014,28,4.92
CPN,2014,29,4.92
CPN,2014,29,4.97
CPN,2014,3,5.86
CPN,2014,30,4.78
CPN,2014,30,4.83
CPN,2014,31,4.65
CPN,2014,31,4.73
CPN,2014,32,4.93
CPN,2014,32,4.84
CPN,2014,33,5.07
CPN,2014,33,5.06
CPN,2014,34,5.44
CPN,2014,34,5.44
CPN,2014,35,3.56
CPN,2014,35,3.56
CPN,2014,36,3.45
CPN,2014,36,3.38
CPN,2014,4,5.94
CPN,2014,5,5.4
CPN,2014,6,5.54
CPN,2014,7,5.01
CPN,2014,8,4.71
CPN,2014,9,5.07
CPS,2014,1,5.28
CPS,2014,10,5.21
CPS,2014,11,5.16
CPS,2014,12,5.07
CPS,2014,13,5.06
CPS,2014,14,5.31
CPS,2014,15,3.79
CPS,2014,16,4.01
CPS,2014,17,3.33
CPS,2014,2,5.52
CPS,2014,3,5.46
CPS,2014,4,5.3
CPS,2014,5,4.96
CPS,2014,6,5.24
CPS,2014,6A,3.84
CPS,2014,7,5.7
CPS,2014,8,4.75
CPS,2014,9,5.5
CPSE,2014,1,4.81
CPSE,2014,10,4.98
CPSE,2014,11,5.46
CPSE,2014,12,4.91
CPSE,2014,13,4.8
CPSE,2014,14,4.58
CPSE,2014,15,5.13
