"pop" "id.raw" "id" "k.value.run" "X1" "X2" "X3" "membership"
"1" "AL" "whtstbk_gbs_2015_L1_brds_AL1" "AL1" 1 1 NA NA 1
"2" "AL" "whtstbk_gbs_2015_L1_brds_AL11" "AL11" 1 1 NA NA 1
"3" "AL" "whtstbk_gbs_2015_L1_brds_AL13" "AL13" 1 1 NA NA 1
"4" "AL" "whtstbk_gbs_2015_L1_brds_AL14" "AL14" 1 1 NA NA 1
"5" "AL" "whtstbk_gbs_2015_L1_brds_AL23" "AL23" 1 1 NA NA 1
"6" "AL" "whtstbk_gbs_2015_L1_brds_AL32" "AL32" 1 1 NA NA 1
"7" "AL" "whtstbk_gbs_2015_L1_brds_AL5" "AL5" 1 1 NA NA 1
"8" "AL" "whtstbk_gbs_2015_L1_brds_AL7" "AL7" 1 1 NA NA 1
"9" "BR" "whtstbk_gbs_2015_L1_brds_BR20" "BR20" 1 1 NA NA 1
"10" "BR" "whtstbk_gbs_2015_L1_brds_BR24" "BR24" 1 1 NA NA 1
"11" "BR" "whtstbk_gbs_2015_L1_brds_BR28" "BR28" 1 1 NA NA 1
"12" "BR" "whtstbk_gbs_2015_L1_brds_BR31" "BR31" 1 1 NA NA 1
"13" "BR" "whtstbk_gbs_2015_L1_brds_BR33" "BR33" 1 1 NA NA 1
"14" "BR" "whtstbk_gbs_2015_L1_brds_BR36" "BR36" 1 1 NA NA 1
"15" "CB" "whtstbk_gbs_2015_L1_brds_CB1" "CB1" 1 1 NA NA 1
"16" "CL" "whtstbk_gbs_2015_L1_brds_CL11" "CL11" 1 1 NA NA 1
"17" "CL" "whtstbk_gbs_2015_L1_brds_CL12" "CL12" 1 1 NA NA 1
"18" "CL" "whtstbk_gbs_2015_L1_brds_CL19" "CL19" 1 1 NA NA 1
"19" "CL" "whtstbk_gbs_2015_L1_brds_CL21" "CL21" 1 1 NA NA 1
"20" "CL" "whtstbk_gbs_2015_L1_brds_CL24" "CL24" 1 1 NA NA 1
"21" "CL" "whtstbk_gbs_2015_L1_brds_CL25" "CL25" 1 1 NA NA 1
"22" "CL" "whtstbk_gbs_2015_L1_brds_CL28" "CL28" 1 1 NA NA 1
"23" "CL" "whtstbk_gbs_2015_L1_brds_CL29" "CL29" 1 1 NA NA 1
"24" "CL" "whtstbk_gbs_2015_L1_brds_CL33" "CL33" 1 1 NA NA 1
"25" "CL" "whtstbk_gbs_2015_L1_brds_CL38" "CL38" 1 1 NA NA 1
"26" "CL" "whtstbk_gbs_2015_L1_brds_CL40" "CL40" 1 1 NA NA 1
"27" "CL" "whtstbk_gbs_2015_L1_brds_CL41" "CL41" 1 1 NA NA 1
"28" "CL" "whtstbk_gbs_2015_L1_brds_CL45" "CL45" 1 1 NA NA 1
"29" "CL" "whtstbk_gbs_2015_L1_brds_CL50" "CL50" 1 1 NA NA 1
"30" "CL" "whtstbk_gbs_2015_L1_brds_CL53" "CL53" 1 1 NA NA 1
"31" "CL" "whtstbk_gbs_2015_L1_brds_CL58" "CL58" 1 1 NA NA 1
"32" "CL" "whtstbk_gbs_2015_L1_brds_CL64" "CL64" 1 1 NA NA 1
"33" "CL" "whtstbk_gbs_2015_L1_brds_CL64.2" "CL64.2" 1 1 NA NA 1
"34" "CPN" "whtstbk_gbs_2015_L1_brds_CPN12" "CPN12" 1 1 NA NA 1
"35" "CPN" "whtstbk_gbs_2015_L1_brds_CPN13" "CPN13" 1 1 NA NA 1
"36" "CPN" "whtstbk_gbs_2015_L1_brds_CPN19" "CPN19" 1 1 NA NA 1
"37" "CPN" "whtstbk_gbs_2015_L1_brds_CPN23" "CPN23" 1 1 NA NA 1
"38" "CPN" "whtstbk_gbs_2015_L1_brds_CPN25" "CPN25" 1 1 NA NA 1
"39" "CPN" "whtstbk_gbs_2015_L1_brds_CPN33" "CPN33" 1 1 NA NA 1
"40" "CPN" "whtstbk_gbs_2015_L1_brds_CPN9" "CPN9" 1 1 NA NA 1
"41" "CPSE" "whtstbk_gbs_2015_L1_brds_CPSE15" "CPSE15" 1 1 NA NA 1
"42" "CPSE" "whtstbk_gbs_2015_L1_brds_CPSE19" "CPSE19" 1 1 NA NA 1
"43" "CPSE" "whtstbk_gbs_2015_L1_brds_CPSE20" "CPSE20" 1 1 NA NA 1
"44" "CPSE" "whtstbk_gbs_2015_L1_brds_CPSE23" "CPSE23" 1 1 NA NA 1
"45" "CPSE" "whtstbk_gbs_2015_L1_brds_CPSE25" "CPSE25" 1 1 NA NA 1
"46" "CPSE" "whtstbk_gbs_2015_L1_brds_CPSE33" "CPSE33" 1 1 NA NA 1
"47" "CPSE" "whtstbk_gbs_2015_L1_brds_CPSE34" "CPSE34" 1 1 NA NA 1
"48" "CPSE" "whtstbk_gbs_2015_L1_brds_CPSE9" "CPSE9" 1 1 NA NA 1
"49" "GC" "whtstbk_gbs_2015_L1_brds_GC1" "GC1" 1 1 NA NA 1
"50" "GC" "whtstbk_gbs_2015_L1_brds_GC14" "GC14" 1 1 NA NA 1
"51" "GC" "whtstbk_gbs_2015_L1_brds_GC18" "GC18" 1 1 NA NA 1
"52" "GC" "whtstbk_gbs_2015_L1_brds_GC2" "GC2" 1 1 NA NA 1
"53" "GC" "whtstbk_gbs_2015_L1_brds_GC21" "GC21" 1 1 NA NA 1
"54" "GC" "whtstbk_gbs_2015_L1_brds_GC24" "GC24" 1 1 NA NA 1
"55" "GC" "whtstbk_gbs_2015_L1_brds_GC30" "GC30" 1 1 NA NA 1
"56" "GC" "whtstbk_gbs_2015_L1_brds_GC31" "GC31" 1 1 NA NA 1
"57" "GC" "whtstbk_gbs_2015_L1_brds_GC36" "GC36" 1 1 NA NA 1
"58" "GC" "whtstbk_gbs_2015_L1_brds_GC38" "GC38" 1 1 NA NA 1
"59" "GC" "whtstbk_gbs_2015_L1_brds_GC9" "GC9" 1 1 NA NA 1
