lg pos1 pos2 rate
1 241609 612297 2.7e-07
1 612299 715796 9.66e-07
1 715798 956633 2.955757629
1 956635 983329 3.75e-06
1 983331 1190612 4.602803414
1 1190614 1236416 2.18e-06
1 1236418 1330207 5.296042264
1 1330209 1391914 20.17579853
1 1391916 1463999 2.965930499
1 1464001 1911435 19.6858791
1 1911437 1913461 247.0608095
1 1913463 2092037 8.803703745
1 2092039 2169782 21.68186507
1 2169784 2354811 12.18861314
1 2354813 2363638 1.13e-05
1 2363640 2544240 14.93537502
1 2544242 2551671 47.78806352
1 2551673 2575286 15.04271861
1 2575288 2589720 6.93e-06
1 2589722 2659116 21.47648568
1 2659118 2884564 12.49732887
1 2884566 3037318 6.55e-07
1 3037320 3100966 5.58118087
1 3100968 3152275 1.95e-06
1 3152277 4319657 7.087305098
1 4319659 4335071 27.62538601
1 4335073 6301895 3.282861405
1 6301897 6550218 1.501187566
1 6550220 6596683 7.827074142
1 6596685 7132318 0.339112269
1 7132320 7435266 0.585821989
1 7435268 7469157 2.95e-06
1 7469159 7604029 1.315794235
1 7604031 7937618 1.065065395
1 7937620 8131875 5.15e-07
1 8131877 9359658 1.311427345
1 9359660 9598490 4.19e-07
1 9598492 9945958 1.535327282
1 9945960 10262756 1.121496348
1 10262758 10392171 7.73e-07
1 10392173 10646860 3.93e-07
1 10646862 10816846 5.88e-07
1 10816848 11094414 3.6e-07
1 11094416 11360198 3.76e-07
1 11360200 11964984 1.65e-07
1 11964986 12220178 3.92e-07
1 12220180 12222165 5.03e-05
1 12222167 12389942 5.96e-07
1 12389944 12865664 2.1e-07
1 12865666 12991414 7.95e-07
1 12991416 13370422 0.93746227
1 13370424 13376377 1.68e-05
1 13376379 13833890 0.38792231
1 13833892 13883326 3.590084149
1 13883328 13949713 1.51e-06
1 13949715 13971232 4.65e-06
1 13971234 13973588 4.24e-05
1 13973590 14210809 0.748174909
1 14210811 14598900 2.58e-07
1 14598902 14892476 1.210252882
1 14892478 15022177 7.71e-07
1 15022179 15031339 1.09e-05
1 15031341 15126712 1.05e-06
1 15126714 15464651 1.07e-05
1 15464653 15819234 0.500516945
1 15819236 16076901 0.688793676
1 16076903 16177433 9.95e-07
1 16177435 16237381 1.67e-06
1 16237383 16355822 8.44e-07
1 16355824 16370823 6.67e-06
1 16370825 16388854 5.55e-06
1 16388856 16469278 1.24e-06
1 16469280 16987459 2.065568788
1 16987461 18081755 9.14e-08
1 18081757 18455324 0.951095246
1 18455326 19749588 7.73e-08
1 26934624 27013225 1.27e-06
1 26510323 26934622 0.418302573
1 26127157 26510321 2.61e-07
1 25662396 26127155 1.14786912
1 25143765 25662394 4.156878204
1 25111559 25143763 3.11e-06
1 24989687 25111557 5.843928056
1 24979104 24989685 9.45e-06
1 24898853 24979102 10.85231835
1 24593362 24898851 3.570812233
1 24575820 24593360 5.7e-06
1 24135009 24575818 0.402378117
1 23825249 24135007 7.673123709
1 23499878 23825247 2.621374984
1 23376740 23499876 5.482228069
1 23357909 23376738 20.79055281
1 23318770 23357907 2.56e-06
1 23195602 23318768 1.440952195
1 23065328 23195600 1.362000092
1 22935135 23065326 8.220252241
1 22907482 22935133 3.62e-06
1 22871470 22907480 4.927799067
1 22707913 22871468 2.643010082
1 22534233 22707911 7.524444956
1 22462554 22534231 8.057828653
1 22053315 22462552 4.136321807
1 22033445 22053313 31.66985908
1 21974475 22033443 14.09680855
1 21954116 21974473 20.34899553
1 21919655 21954114 5.149319521
1 21906007 21919653 7.33e-06
1 21849911 21906005 1.78e-06
1 21798545 21849909 1.95e-06
1 21770508 21798543 3.57e-06
1 21757942 21770506 7.96e-06
1 21680512 21757940 1.29e-06
1 21629839 21680510 1.97e-06
1 21595762 21629837 2.93e-06
1 21460024 21595760 2.616919359
1 21424290 21460022 24.91925337
1 21255008 21424288 10.56794993
1 21023543 21255006 2.632909079
1 20798037 21023541 3.609030358
1 20739851 20798035 3.049175059
1 20727496 20739849 14.35558883
1 20406714 20727494 5.875560973
1 20094257 20406712 5.264867486
1 20035611 20094255 9.8763087
1 20018178 20035609 5.74e-06
1 20003474 20018176 6.8e-06
1 28134696 28144936 9.76e-06
1 28121373 28134694 7.51e-06
1 28080165 28121371 2.43e-06
1 27955700 28080163 7.154630619
1 27866151 27955698 5.955552826
1 27831004 27866149 2.85e-06
1 27785798 27831002 2.21e-06
1 27739371 27785796 2.15e-06
1 27634510 27739369 9.54e-07
1 27578151 27634508 1.77e-06
1 27419214 27578149 6.29e-07
1 27341740 27419212 1.29e-06
2 557038 747568 5.25e-07
2 747570 890972 6.97e-07
2 890974 911309 4.92e-06
2 911311 1171496 3.84e-07
2 1171498 1210850 2.54e-06
2 1210852 2366743 1.392493596
2 2366745 2509505 7e-07
2 2509507 2550238 2.46e-06
2 2550240 3126020 1.159364308
2 3126022 3210497 2.622844088
2 3210499 3353996 3.717162489
2 3353998 3366047 8.3e-06
2 3366049 3515994 6.67e-07
2 3515996 3675532 3.343281225
2 3675534 3704340 13.35061441
2 3704342 3762185 1.73e-06
2 3762187 3999999 5.424842944
2 4000001 4295484 2.171099717
2 4295486 4347575 1.92e-06
2 4347577 4351183 2.77e-05
2 4351185 4515822 3.239544701
2 4515824 4523618 1.28e-05
2 4523620 4689475 2.141778158
2 4689477 4707276 5.62e-06
2 4707278 4725854 5.38e-06
2 4725856 4743029 5.82e-06
2 4743031 5244023 2.493370779
2 5244025 5249615 1.79e-05
2 5249617 5325820 1.31e-06
2 5325822 5344759 5.28e-06
2 5344761 5395533 6.996454878
2 5395535 5457710 8.578278141
2 5457712 5561505 9.63e-07
2 5561507 5573665 8.22e-06
2 5573667 5633641 1.67e-06
2 5633643 5636170 156.0310399
2 5636172 5665752 3.38e-06
2 5665754 5772379 4.31581213
2 5772381 6050140 3.328903266
2 6050142 6075090 7.111350701
2 6075092 6079145 43.73124538
2 6079147 6833374 3.739663153
