chr pos
1 24880
1 24906
1 25024
1 60006
1 60023
1 60028
1 85141
1 101892
1 101895
1 101901
1 148593
1 148614
1 150503
1 157055
1 157620
1 195849
1 201682
1 222208
1 222231
1 222277
1 262428
1 262448
1 262641
1 262645
1 262699
1 292367
1 292381
1 292386
1 303127
1 313195
1 313223
1 313248
1 318486
1 335926
1 351125
1 351190
1 351217
1 351393
1 351416
1 352727
1 389516
1 403309
1 403310
1 403363
1 403499
1 403531
1 417044
1 489076
1 520071
1 643143
1 653384
1 653410
1 653431
1 693403
1 697712
1 756659
1 756663
1 756671
1 780956
1 780980
1 835028
1 835365
1 836756
1 839851
1 839876
1 839897
1 839950
1 839979
1 839981
1 882156
1 882168
1 882220
1 883255
1 883296
1 883347
1 903150
1 903169
1 909538
1 909569
1 909577
1 962839
1 963245
1 988900
1 1070022
1 1092181
1 1142818
1 1142923
1 1142975
1 1150251
1 1151101
1 1152287
1 1172098
1 1173071
1 1173072
1 1173077
1 1173249
1 1173267
1 1176846
1 1176912
1 1185838
1 1190206
1 1216316
1 1216338
1 1220940
1 1316056
1 1316057
1 1316061
1 1316446
1 1316551
1 1316564
1 1329187
1 1329343
1 1340224
1 1340229
1 1340231
1 1340233
1 1420274
1 1420302
1 1441558
1 1441566
1 1441596
1 1441610
1 1469475
1 1470271
1 1496143
1 1496249
1 1496250
1 1496362
1 1496364
1 1496369
1 1496379
1 1496774
1 1498263
1 1501219
1 1502980
1 1514383
1 1514401
1 1531584
1 1531586
1 1531632
1 1531633
1 1543811
1 1543885
1 1544044
1 1594213
1 1637403
1 1676836
1 1676938
1 1687241
1 1687350
1 1687683
1 1757125
1 1772004
1 1772116
1 1785736
1 1785757
1 1785777
1 1798734
1 1803787
1 1803789
1 1803836
1 1807739
1 1807834
1 1808481
1 1808832
1 1827611
1 1844131
1 1849867
1 1853140
1 1853514
1 1862441
1 1862444
1 1873701
1 1906880
1 1959291
1 1959638
1 1959646
1 1959648
1 1959666
1 1977768
1 1977796
1 1977801
1 1978993
1 1985673
1 2062316
1 2090262
1 2100934
1 2101318
1 2138792
1 2145155
1 2156620
1 2156646
1 2182962
1 2220949
1 2220960
1 2227253
1 2227256
1 2241812
1 2241856
1 2241929
1 2245298
1 2276660
1 2299227
1 2342109
1 2342140
1 2342141
1 2342169
1 2342178
1 2413163
1 2413730
1 2446173
1 2466330
1 2466337
1 2467265
1 2484485
1 2484515
1 2484659
1 2485154
1 2485180
1 2485187
1 2485203
1 2507276
1 2533728
1 2534608
1 2535158
1 2545669
1 2551822
1 2558391
1 2558404
1 2558466
1 2558475
1 2558525
1 2558644
1 2564628
1 2564801
1 2564805
1 2564807
1 2641361
1 2641388
1 2646240
1 2646455
1 2673583
1 2673666
1 2673718
1 2675793
1 2683082
1 2702819
1 2702905
1 2723484
1 2723501
1 2723619
1 2723658
1 2723760
1 2723774
1 2745722
1 2746017
1 2796498
1 2816736
1 2816737
1 2817781
1 2832552
1 2867908
1 2884799
1 2888279
1 2891483
1 2892615
1 2892774
1 2892789
1 2892807
1 2903748
1 2903753
1 2913842
1 2917696
1 2917744
1 2930914
1 2944350
1 2944625
1 2978626
1 2978866
1 2978907
1 2978928
1 2983715
1 2983956
1 3025754
1 3039776
1 3039802
1 3051599
1 3068070
1 3074866
1 3085744
1 3085997
1 3089591
1 3089612
1 3089649
1 3091893
1 3095245
1 3111742
1 3111760
1 3112231
1 3120922
1 3121216
1 3121272
1 3146986
1 3159136
1 3161192
1 3161243
1 3161288
1 3176878
1 3176976
1 3177035
1 3183845
1 3192114
1 3192253
1 3192257
1 3194609
1 3194621
1 3194977
1 3213006
1 3217863
1 3217870
1 3224627
1 3224667
1 3224668
1 3224939
1 3224991
1 3244609
1 3244864
1 3244867
1 3261342
1 3338063
1 3353667
1 3402631
1 3402633
1 3440937
1 3499935
1 3500076
1 3500140
1 3557631
1 3557640
1 3596127
1 3596130
1 3596500
1 3605140
1 3636849
1 3646568
1 3670686
1 3670687
1 3670688
1 3670765
1 3670771
1 3717436
1 3717472
1 3717840
1 3743216
1 3746047
1 3746135
1 3746138
1 3746934
1 3746989
1 3746993
1 3746994
1 3749190
1 3749246
1 3773687
1 3774035
1 3778028
1 3787936
1 3787937
1 3820789
1 3820825
1 3840583
1 3892612
1 3892643
1 3892649
1 3903193
1 3903197
1 3946784
1 3946808
1 3957072
1 3973496
1 3973522
1 4028078
1 4028098
1 4028211
1 4031516
1 4031536
1 4053356
1 4058347
1 4058349
1 4058406
1 4058437
1 4058448
1 4058450
1 4058452
1 4098360
1 4161140
1 4198540
1 4204690
1 4204830
1 4243651
1 4243653
1 4243708
1 4243712
1 4243715
1 4246947
1 4280328
1 4280569
1 4285801
1 4285844
1 4285850
1 4285853
1 4285877
1 4286195
1 4294176
1 4316477
1 4332508
1 4332568
1 4345366
1 4345385
1 4345395
1 4345401
1 4366903
1 4367320
1 4367621
1 4367639
1 4367693
1 4370058
1 4370059
1 4370062
1 4380606
1 4380649
1 4382052
1 4382192
1 4390066
1 4390067
1 4390081
1 4406220
1 4406496
1 4406526
1 4416918
1 4416920
1 4417088
1 4417092
1 4425221
1 4425676
1 4434628
1 4440955
1 4441058
1 4467954
1 4468185
1 4472658
1 4472662
1 4493144
1 4517914
1 4517916
1 4517964
1 4542193
1 4579927
1 4591330
1 4591345
1 4591379
1 4596610
1 4596930
1 4597431
1 4606896
1 4607815
1 4608088
1 4608102
1 4611412
1 4612464
1 4657806
1 4657866
1 4686488
1 4692409
1 4721165
1 4721496
1 4760445
1 4777194
1 4780260
1 4785408
1 4785801
1 4795381
1 4795388
1 4795723
1 4795726
1 4795744
1 4795770
1 4795774
1 4795851
1 4795984
1 4796072
1 4796254
1 4796585
1 4796595
1 4816170
1 4920887
1 4920906
1 4921071
1 4925074
1 4925363
1 4976765
1 4977259
1 4977331
1 4977384
1 4977385
1 4977631
1 5020987
1 5021129
1 5021177
1 5034588
1 5040832
1 5040845
1 5050956
1 5075631
1 5075637
1 5083916
1 5104444
1 5144927
1 5201473
1 5201768
1 5212748
1 5212798
1 5218373
1 5247982
1 5259258
1 5265927
1 5267043
1 5267185
1 5267547
1 5302522
1 5384650
1 5407949
1 5424708
1 5424719
1 5424753
1 5477232
1 5490006
1 5527003
1 5527115
1 5529249
1 5529295
1 5529329
1 5554110
1 5554127
1 5554229
1 5554239
1 5565296
1 5565560
1 5599327
1 5651956
1 5724109
1 5750853
1 5751377
1 5751398
1 5804770
1 5805604
1 5805608
1 5874438
1 5874439
1 5920351
1 5920352
1 5920359
1 5920541
1 5934928
1 5938342
1 5954649
1 5996658
1 5999188
1 5999244
1 5999340
1 5999345
1 6001887
1 6017473
1 6017481
1 6023795
1 6023815
1 6023865
1 6023933
1 6024214
1 6024219
1 6024274
1 6026884
1 6026916
1 6041232
1 6117731
1 6117780
1 6119135
1 6132437
1 6146198
1 6150031
1 6150216
1 6180751
1 6189616
1 6189617
1 6189622
1 6189650
1 6207554
1 6208040
1 6208335
1 6267628
1 6268088
1 6268140
1 6283613
1 6319387
1 6328086
1 6335875
1 6395741
1 6398464
1 6399529
1 6399668
1 6406594
1 6425105
1 6429710
1 6454654
1 6459806
1 6468957
1 6477830
1 6508352
1 6524981
1 6524987
1 6524997
1 6525020
1 6525066
1 6538124
1 6538278
1 6552017
1 6553667
1 6560441
1 6568065
1 6568231
1 6579300
1 6604135
1 6619975
1 6620346
1 6667724
1 6696789
1 6696808
1 6741526
1 6741529
1 6741576
1 6741831
1 6742143
1 6756580
1 6772837
1 6772853
1 6773137
1 6882968
1 6883009
1 6886178
1 6886245
1 6906199
1 6958165
1 6962672
1 6963098
1 6963917
1 6965332
1 6965360
1 6965361
1 6967006
1 6967027
1 6967061
1 6999677
1 7019080
1 7019089
1 7019093
1 7042035
1 7069972
1 7107492
1 7107526
1 7168874
1 7169106
1 7169203
1 7270913
1 7294867
1 7311103
1 7311136
1 7311278
1 7311443
1 7311616
1 7311645
1 7314921
1 7345182
1 7346106
1 7368208
1 7369078
1 7376770
1 7376809
1 7389797
1 7389819
1 7443857
1 7444268
1 7461817
1 7465947
1 7466084
1 7466301
1 7466311
1 7466352
1 7466430
1 7466473
1 7503644
1 7517367
1 7530192
1 7530624
1 7598051
1 7598152
1 7603855
1 7603893
1 7652707
1 7659251
1 7659269
1 7672291
1 7672669
1 7673219
1 7682097
1 7682135
1 7759205
1 7759307
1 7759349
1 7759355
1 7759529
1 7759540
1 7828704
1 7829142
1 7829199
1 7829219
1 7859097
1 7865793
1 7895346
1 7917597
1 7920962
1 7920984
1 7943678
1 7950331
1 7970900
1 7970901
1 7970905
1 7970907
1 7970909
1 7970913
1 7970914
1 7970921
1 7980910
1 7992807
1 7992896
1 7993044
1 7993070
1 7993492
1 8010084
1 8010087
1 8010225
1 8010242
1 8013021
1 8013036
1 8013061
1 8013299
1 8013324
1 8013333
1 8013361
1 8013446
1 8013473
1 8020197
1 8020206
1 8020714
1 8020989
1 8049015
1 8051691
1 8194209
1 8203609
1 8262385
1 8300737
1 8303844
1 8304108
1 8304150
1 8304169
1 8357815
1 8357835
1 8417871
1 8437746
1 8441951
1 8455479
1 8455551
1 8455823
1 8460344
1 8478494
1 8499173
1 8538909
1 8556233
1 8557792
1 8564541
1 8699364
1 8699418
1 8707782
1 8707785
1 8707973
1 8716109
1 8716182
1 8716895
1 8798175
1 8801275
1 8801354
1 8804149
1 8836815
1 8867466
1 8867511
1 8898033
1 8898542
1 8930541
1 8959707
1 8963665
1 8991243
1 9006244
1 9112109
1 9143997
1 9343661
1 9343704
1 9343927
1 9343930
1 9348031
1 9384116
1 9386885
1 9386960
1 9412909
1 9412916
1 9441896
1 9442163
1 9525659
1 9525955
1 9527377
1 9601509
1 9601659
1 9618833
1 9655028
1 9657987
1 9700442
1 9726512
1 9739138
1 9794704
1 9888809
1 9888826
1 9956964
1 9994613
1 9994625
1 9998070
1 10017066
1 10017389
1 10021782
1 10021827
1 10021990
1 10022077
1 10032826
1 10033061
1 10122147
1 10122288
1 10162934
1 10229865
1 10262495
1 10282567
1 10387945
1 10494498
1 10507522
1 10526210
1 10526314
1 10564915
