Scaffold,Length,NewChr,NewStart,NewEnd,NewOrientation,OldChr,OldStart,OldEnd
83,540082,1,1,540082,reverse,1,1,540082
186,138358,1,541083,679440,unknown,Un,37499023,37637380
92,507020,1,680441,1187460,forward,1,541083,1048102
97,495247,1,1188461,1683707,forward,1,1049103,1544349
175,171423,1,1684708,1856130,forward,Un,36027951,36199373
165,168374,1,1857131,2025504,forward,Un,34620012,34788385
30,4389048,1,2026505,6415552,forward,1,1545350,5934397
7,13985904,1,6416553,20402456,forward,1,5935398,19921301
119,290161,1,20403457,20693617,forward,Un,26706540,26996700
22,7367927,1,20694618,28062544,reverse,1,19922302,27290228
74,682422,1,28063545,28745966,forward,Un,18321482,19003903
82,599131,1,28746967,29346097,reverse,1,27586784,28185914
123,294555,1,29347098,29641652,unknown,1,27291229,27585783
98,411577,2,1,411577,reverse,Un,23343224,23754800
63,965607,2,412578,1378184,reverse,2,1,965607
0,21409249,2,1379185,22788433,forward,2,966608,22375856
102,466467,2,22789434,23255900,forward,2,22829186,23295652
96,451329,2,23256901,23708229,reverse,2,22376857,22828185
33,3268600,3,1,3268600,forward,3,1,3268600
15,10827426,3,3269601,14097026,forward,3,3269601,14097026
78,638921,3,14098027,14736947,forward,3,14098027,14736947
169,154270,3,14737948,14892217,forward,Un,35298962,35453231
81,536865,3,14893218,15430082,forward,3,14737948,15274812
201,142603,3,15431083,15573685,unknown,Un,38908937,39051539
50,1522694,3,15574686,17097379,forward,3,15275813,16798506
135,246067,3,17098380,17344446,reverse,Un,30097082,30343148
120,303103,3,17345447,17648549,reverse,Un,26997701,27300803
161,158182,3,17649550,17807731,forward,Un,33862777,34020958
65,1068876,4,1,1068876,forward,4,1,1068876
222,103458,4,1069877,1173334,unknown,4,1069877,1173334
20,7861250,4,1174335,9035584,forward,4,1174335,9035584
17,8782472,4,9036585,17819056,forward,4,9036585,17819056
24,5623859,4,17820057,23443915,reverse,4,22731829,28355687
108,349258,4,23444916,23794173,reverse,Un,24937440,25286697
28,4910772,4,23795174,28705945,reverse,4,17820057,22730828
42,2095096,4,28706946,30802041,forward,4,28356688,30451783
41,2180165,4,30803042,32983206,forward,4,30452784,32632948
121,391895,4,32984207,33376101,reverse,Un,27301804,27693698
152,266236,4,33377102,33643337,reverse,Un,32548296,32814531
90,509074,4,33644338,34153411,reverse,Un,21813335,22322408
54,1212556,5,1,1212556,forward,Un,11244841,12457396
48,1738986,5,1213557,2952542,forward,Un,9504855,11243840
19,7877689,5,2953543,10831231,reverse,5,1,7877689
38,2657443,5,10832232,13489674,forward,5,7878690,10536132
93,460225,5,13490675,13950899,reverse,5,10537133,10997357
73,743380,5,13951900,14695279,reverse,5,10998358,11741737
112,357655,5,14696280,15053934,reverse,Un,25632574,25990228
142,210318,5,15054935,15265252,forward,5,11742738,11953055
125,297342,5,15266253,15563594,reverse,5,11954056,12251397
61,1001911,6,1,1001911,reverse,Un,14739453,15741363
66,884755,6,1002912,1887666,reverse,6,1,884755
76,596175,6,1888667,2484841,reverse,Un,19004904,19601078
35,3171024,6,2485842,5656865,reverse,6,885756,4056779
13,12359755,6,5657866,18017620,forward,6,4057780,16417534
140,241116,6,18018621,18259736,unknown,6,16418535,16659650
117,423025,6,18260737,18683761,forward,6,16660651,17083675
156,170221,6,18684762,18854982,forward,Un,33192445,33362665
129,274688,7,1,274688,reverse,Un,28544618,28819305
131,252297,7,275689,527985,forward,Un,29057819,29310115
86,539725,7,528986,1068710,reverse,7,1,539725
118,386533,7,1069711,1456243,forward,7,540726,927258
55,1270640,7,1457244,2727883,forward,7,928259,2198898
39,2408260,7,2728884,5137143,forward,7,2199899,4608158
23,5801771,7,5138144,10939914,forward,7,4609159,10410929
106,373368,7,10940915,11314282,forward,Un,24563072,24936439
47,1748180,7,11315283,13063462,reverse,Un,7755675,9503854
1,17201617,7,13064463,30266079,forward,7,10411930,27613546
132,259421,7,30267080,30526500,forward,Un,29311116,29570536
113,322897,7,30527501,30850397,forward,7,27614547,27937443
56,1168921,8,1,1168921,forward,Un,12458397,13627317
53,1370556,8,1169922,2540477,forward,8,1,1370556
36,3129284,8,2541478,5670761,forward,8,1371557,4500840
9,13619508,8,5671762,19291269,forward,8,4501841,18121348
71,823161,8,19292270,20115430,forward,8,18122349,18945509
138,235227,8,20116431,20351657,reverse,8,19133478,19368704
153,185968,8,20352658,20538625,reverse,8,18946510,19132477
31,4308199,9,1,4308199,forward,9,1,4308199
8,13584991,9,4309200,17894190,reverse,9,4309200,17894190
77,604609,9,17895191,18499799,forward,9,17895191,18499799
91,530449,9,18500800,19031248,reverse,9,18500800,19031248
105,452835,9,19032249,19485083,forward,9,19032249,19485083
183,121211,9,19486084,19607294,reverse,9,19486084,19607294
198,108707,9,19608295,19717001,unknown,Un,38598002,38706708
189,116918,9,19718002,19834919,forward,9,19627166,19744083
177,148997,9,19835920,19984916,forward,Un,36343914,36492910
244,102481,9,19985917,20088397,unknown,Un,42813443,42915923
87,504396,9,20089398,20593793,reverse,9,19745084,20249479
111,343876,10,1,343876,forward,Un,25287698,25631573
130,236513,10,344877,581389,reverse,Un,28820306,29056818
101,384623,10,582390,967012,reverse,Un,24177449,24562071
58,1110135,10,968013,2078147,reverse,Un,13628318,14738452
5,14541209,10,2079148,16620356,forward,10,1,14541209
149,187351,10,16621357,16808707,forward,Un,31976087,32163437
208,109349,10,16809708,16919056,reverse,Un,39711137,39820485
